CLDR,epd - Meaning,epd - Note,epd - Unicode,epd - Additional informations
aries,The Aries astrological sign in the Zodiac. This Zodiac Symbol represents a Ram.,,Aries was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.,
articulated-lorry,,,Articulated Lorry was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
artist-dark-skin-tone,,"The Artist: Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and 🎨 Artist Palette.These display as a single emoji on supported platforms.",Artist: Dark Skin Tone was added to Emoji 12.1 in 2019.,
artist-light-skin-tone,,"The Artist: Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏻 Light Skin Tone, ‍ Zero Width Joiner and 🎨 Artist Palette.These display as a single emoji on supported platforms.",Artist: Light Skin Tone was added to Emoji 12.1 in 2019.,
artist-medium-dark-skin-tone,,"The Artist: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and 🎨 Artist Palette.These display as a single emoji on supported platforms.",Artist: Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.,
artist-medium-light-skin-tone,,"The Artist: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and 🎨 Artist Palette.These display as a single emoji on supported platforms.",Artist: Medium-Light Skin Tone was added to Emoji 12.1 in 2019.,
artist-medium-skin-tone,,"The Artist: Medium Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and 🎨 Artist Palette.These display as a single emoji on supported platforms.",Artist: Medium Skin Tone was added to Emoji 12.1 in 2019.,
artist-palette,"A palette used by an artist when painting, to store and mix paint colors.",,Artist Palette was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
artist,,"The Artist emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🎨 Artist Palette.These display as a single emoji on supported platforms.",Artist was added to Emoji 12.1 in 2019.,
astonished-face,"A yellow face with open eyes, raised eyebrows, and an open mouth, as if gasping in shock or surprise. Often depicted showing its upper teeth. May convey a wide range of emotions, including awe, amazement, admiration, disbelief, excitement, or concern. Similar to 😯 Hushed Face, which features smaller eyes and mouth. Several earlier designs, including Apple’s, displayed X-shaped eyes, making the emoji resemble 😵 Dizzy Face. Google’s design previously depicted a wobbly expression, as if inebriated.",,Astonished Face was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,🚩 Appearance historically differs greatly cross-platform. Use with caution. 🚨
astronaut-dark-skin-tone,,"The Astronaut: Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏿 Dark Skin Tone, ‍ Zero Width Joiner and 🚀 Rocket.These display as a single emoji on supported platforms.",Astronaut: Dark Skin Tone was added to Emoji 12.1 in 2019.,
astronaut-light-skin-tone,,"The Astronaut: Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏻 Light Skin Tone, ‍ Zero Width Joiner and 🚀 Rocket.These display as a single emoji on supported platforms.",Astronaut: Light Skin Tone was added to Emoji 12.1 in 2019.,
astronaut-medium-dark-skin-tone,,"The Astronaut: Medium-Dark Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏾 Medium-Dark Skin Tone, ‍ Zero Width Joiner and 🚀 Rocket.These display as a single emoji on supported platforms.",Astronaut: Medium-Dark Skin Tone was added to Emoji 12.1 in 2019.,
astronaut-medium-light-skin-tone,,"The Astronaut: Medium-Light Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏼 Medium-Light Skin Tone, ‍ Zero Width Joiner and 🚀 Rocket.These display as a single emoji on supported platforms.",Astronaut: Medium-Light Skin Tone was added to Emoji 12.1 in 2019.,
astronaut-medium-skin-tone,,"The Astronaut: Medium Skin Tone emoji is a ZWJ sequence combining 🧑 Person, 🏽 Medium Skin Tone, ‍ Zero Width Joiner and 🚀 Rocket.These display as a single emoji on supported platforms.",Astronaut: Medium Skin Tone was added to Emoji 12.1 in 2019.,
astronaut,An astronaut or cosmonaut shown wearing a space suit and helmet.,"The Astronaut emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🚀 Rocket.These display as a single emoji on supported platforms.",Astronaut was added to Emoji 12.1 in 2019.,
atm-sign,,,ATM Sign was approved as part of Unicode 6.0 in 2010 under the name “Automated Teller Machine” and added to Emoji 1.0 in 2015.,
atom-symbol,,,Atom Symbol was approved as part of Unicode 4.1 in 2005 and added to Emoji 1.0 in 2015.,
auto-rickshaw,"An auto rickshaw, often referred to as a tuk tuk. This motorized version of a cycle rickshaw is used for transport in many regions of the world. Generally this emoji has three wheels and open sides without doors.",,Auto Rickshaw was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
automobile,"A car shown from the side, facing right-to-left. Appears as a red car on almost all platforms (which goes faster), though earlier Google designs displayed the vehicle as either silver or blue. Facebook's first design for this emoji was also blue.",,Automobile was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
avocado,"A pear-shaped avocado, sliced in half to show its yellow-green flesh and large brown pit. Ready for toast, guacamole, or millennial jokes.",,Avocado was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,
axe,"An axe with a wooden handle and a metal blade. On many platforms the blade is red, like a fire axe.",,Axe was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.,
b-button-blood-type,"A symbol representing Blood Type B. Displayed as the letter B on a red background. Sometimes used online to replace the letter C at the start of words in reference to the Bloods street gang's practice of turning words like cool into bool. This has expanded in some instances to starting any word with the letter B, or more specifically, this emoji which makes it more 🅱️lear that a letter has been replaced.",,B Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin Capital Letter B” and added to Emoji 1.0 in 2015.,
baby-angel-dark-skin-tone,,The Baby Angel: Dark Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Baby Angel: Dark Skin Tone was added to Emoji 2.0 in 2015.,
baby-angel-light-skin-tone,,The Baby Angel: Light Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Baby Angel: Light Skin Tone was added to Emoji 2.0 in 2015.,
baby-angel-medium-dark-skin-tone,,The Baby Angel: Medium-Dark Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Baby Angel: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.,
baby-angel-medium-light-skin-tone,,The Baby Angel: Medium-Light Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Baby Angel: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.,
baby-angel-medium-skin-tone,,The Baby Angel: Medium Skin Tone emoji is a modifier sequence combining 👼 Baby Angel and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Baby Angel: Medium Skin Tone was added to Emoji 2.0 in 2015.,
baby-angel,"A baby with a halo and wings. Can represent a sweet baby, a biblical cherub, a mythological cupid, a decorative putto, or an angel as a supernatural being in general. This emoji can be used earnestly or in a tongue-in-cheek way to talk about goodness or innocence. It is often used to express affection for people, especially children at birth or, more sadly, after death. This emoji pops up in a large variety of contexts ranging from innocence, love, Valentine's Day, positive feelings like gratitude, and the Christian faith, especially during Christmas. See also 👶 Baby.",,Baby Angel was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
baby-bottle,"A bottle of milk or formula, as or fed to a baby, with a bluish cap and rubber nipple or teat. Positioned upright or at a 45° angle, and filled to various levels, sometimes showing fill lines. Often used for newborns and childrearing. See also Breast-Feeding.",,Baby Bottle was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
baby-chick,"A yellow baby chicken (chick). Variously depicted as a chick in full profile, standing on its legs, or as a chick head. Both designs show the bird facing left, with an orange beak and feet. Often used with an affectionate tone. May be used to represent various types of baby birds. May also be used to represent chicken foods (e.g., poultry, eggs), spring, Easter, or slang senses of chick. Not to be confused with 🐣 Hatching Chick or 🐥Front-Facing Baby Chick, though their applications overlap. See also 🐔 Chicken and 🐓 Rooster. Apple, WhatsApp, and Facebook’s designs feature a chick head; other major platforms display a full-bodied chick.",,Baby Chick was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
baby-dark-skin-tone,,The Baby: Dark Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Baby: Dark Skin Tone was added to Emoji 2.0 in 2015.,
baby-light-skin-tone,,The Baby: Light Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Baby: Light Skin Tone was added to Emoji 2.0 in 2015.,
baby-medium-dark-skin-tone,,The Baby: Medium-Dark Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Baby: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.,
baby-medium-light-skin-tone,,The Baby: Medium-Light Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Baby: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.,
baby-medium-skin-tone,,The Baby: Medium Skin Tone emoji is a modifier sequence combining 👶 Baby and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Baby: Medium Skin Tone was added to Emoji 2.0 in 2015.,
baby-symbol,"The symbol for a baby, usually used to indicate a room that is suitable to change a baby in. Often located in or near public restrooms.",,Baby Symbol was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
baby,"The face of a baby with a small tuft of hair on top of its head. Some platforms show the baby sucking on a pacifier, and some platforms show a single tooth in the baby’s open mouth. Android previously displayed this emoji as a swaddled baby. On Snapchat, the baby emoji signifies a new friend on the service. This emoji can also be used in the context of the meme “I’m baby.” See also 👼 Baby Angel.",,Baby was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
back-arrow,,,Back Arrow was approved as part of Unicode 6.0 in 2010 under the name “Back with Leftwards Arrow Above” and added to Emoji 1.0 in 2015.,
backhand-index-pointing-down-dark-skin-tone,,The Backhand Index Pointing Down: Dark Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Down: Dark Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-down-light-skin-tone,,The Backhand Index Pointing Down: Light Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Down: Light Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-down-medium-dark-skin-tone,,The Backhand Index Pointing Down: Medium-Dark Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Down: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-down-medium-light-skin-tone,,The Backhand Index Pointing Down: Medium-Light Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Down: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-down-medium-skin-tone,,The Backhand Index Pointing Down: Medium Skin Tone emoji is a modifier sequence combining 👇 Backhand Index Pointing Down and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Down: Medium Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-down,Index finger pointing downward.,,Backhand Index Pointing Down was approved as part of Unicode 6.0 in 2010 under the name “White Down Pointing Backhand Index” and added to Emoji 1.0 in 2015.,
backhand-index-pointing-left-dark-skin-tone,,The Backhand Index Pointing Left: Dark Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Left: Dark Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-left-light-skin-tone,,The Backhand Index Pointing Left: Light Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Left: Light Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-left-medium-dark-skin-tone,,The Backhand Index Pointing Left: Medium-Dark Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Left: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-left-medium-light-skin-tone,,The Backhand Index Pointing Left: Medium-Light Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Left: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-left-medium-skin-tone,,The Backhand Index Pointing Left: Medium Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Left: Medium Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-left,Index finger pointing to the left.,,Backhand Index Pointing Left was approved as part of Unicode 6.0 in 2010 under the name “White Left Pointing Backhand Index” and added to Emoji 1.0 in 2015.,
backhand-index-pointing-right-dark-skin-tone,,The Backhand Index Pointing Right: Dark Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Right: Dark Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-right-light-skin-tone,,The Backhand Index Pointing Right: Light Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Right: Light Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-right-medium-dark-skin-tone,,The Backhand Index Pointing Right: Medium-Dark Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Right: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-right-medium-light-skin-tone,,The Backhand Index Pointing Right: Medium-Light Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Right: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-right-medium-skin-tone,,The Backhand Index Pointing Right: Medium Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Right: Medium Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-right,Index finger pointing to the right.,,Backhand Index Pointing Right was approved as part of Unicode 6.0 in 2010 under the name “White Right Pointing Backhand Index” and added to Emoji 1.0 in 2015.,
backhand-index-pointing-up-dark-skin-tone,,The Backhand Index Pointing Up: Dark Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏿 Dark Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Up: Dark Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-up-light-skin-tone,,The Backhand Index Pointing Up: Light Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏻 Light Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Up: Light Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-up-medium-dark-skin-tone,,The Backhand Index Pointing Up: Medium-Dark Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏾 Medium-Dark Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Up: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-up-medium-light-skin-tone,,The Backhand Index Pointing Up: Medium-Light Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏼 Medium-Light Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Up: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-up-medium-skin-tone,,The Backhand Index Pointing Up: Medium Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏽 Medium Skin Tone.These display as a single emoji on supported platforms.,Backhand Index Pointing Up: Medium Skin Tone was added to Emoji 2.0 in 2015.,
backhand-index-pointing-up,"Index finger pointing upward, showing the back of the hand while doing so.",,Backhand Index Pointing Up was approved as part of Unicode 6.0 in 2010 under the name “White Up Pointing Backhand Index” and added to Emoji 1.0 in 2015.,
backpack,"A school bag Emoji (also called a satchel) used by children attending school to carry books, lunch, and other personal belongings.",,Backpack was approved as part of Unicode 6.0 in 2010 under the name “School Satchel” and added to Emoji 1.0 in 2015.,
bacon,"Strips of crispy, fatty, reddish-brown bacon, as fried for breakfast. Depicted as a pair on most platforms.",,Bacon was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.,
badger,"A badger, a stocky mammal in the weasel family with a long, pointed head. Generally depicted in full profile on all fours facing left, with a gray coat, black-and-white-striped face, and short tail. Google’s design used to feature a friendly, cartoon-styled black-and-white badger face. Facebook’s badger is sitting on its hind legs.",,Badger was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,
badminton,,,Badminton was approved as part of Unicode 8.0 in 2015 under the name “Badminton Racquet and Shuttlecock” and added to Emoji 1.0 in 2015.,
bagel,"The brown bread of a bagel, shown sliced in two halves. Some platforms depict seeds, as sesame or poppy, and a schmear of cream cheese, with the bagel assembled as a sandwich. May resemble the Doughnut at small sizes. After complaints, Apple updated the bagel emoji design during the iOS 12.1 beta cycle.",,Bagel was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.,
baggage-claim,,,Baggage Claim was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.,
